model_id,scenario,activity_id,activity_label,b,se,z,p,sign,sig
m_max,amount_max_regex,7,场外交易(OTC),.4997069313286136,.27039599,1.848056,.064594254,positive,*
m_max,amount_max_regex,8,委托理财/代投,.1038479617256149,.22245041,.46683648,.64061689,positive,
m_max,amount_max_regex,10,技术服务,-1.837902200416394,.40037313,-4.5904732,4.4224221e-06,negative,***
m_max,amount_max_regex,11,挖矿,-.4353137207514142,.23215616,-1.8750901,.060780331,negative,*
m_max,amount_max_regex,12,未分类,-1.704394528240336,.24785417,-6.8766017,6.1297092e-12,negative,***
m_max,amount_max_regex,13,未知,-1.184733556641011,.53829396,-2.2009044,.027742794,negative,**
m_max,amount_max_regex,14,虚拟货币买卖,.8186147627245925,.36866173,2.2205038,.026384592,positive,**
m_max,amount_max_regex,15,虚拟货币交易,.433246363816221,.35557821,1.2184278,.22306146,positive,
m_max,amount_max_regex,16,虚拟货币借贷,-1.049840790851448,.24197312,-4.3386674,.000014334942,negative,***
m_max,amount_max_regex,18,虚拟货币投资,-.106553249123467,.27134439,-.39268637,.69455111,negative,
m_max,amount_max_regex,20,虚拟货币购买,-.2483485487451354,.93719512,-.26499131,.79101616,negative,
m_max,amount_max_regex,23,非法金融活动,1.632644634676936,1.1554198,1.4130315,.15764646,positive,
m_mean,amount_mean_regex,1,不适用,-2.34590555253022,.75716865,-3.0982602,.001946604,negative,***
m_mean,amount_mean_regex,3,交易所炒币,-.0873731504316256,.32839048,-.26606479,.79018933,negative,
m_mean,amount_mean_regex,4,其他,-1.29877108929761,.39230913,-3.3105807,.00093102566,negative,***
m_mean,amount_mean_regex,5,其他(稀疏),-.5900545133536609,.31340712,-1.8827093,.05973978,negative,*
m_mean,amount_mean_regex,6,发币/ICO,1.748049607705735,.37532237,4.6574616,3.2013204e-06,positive,***
m_mean,amount_mean_regex,7,场外交易(OTC),.4997069313286136,.27039599,1.848056,.064594254,positive,*
m_mean,amount_mean_regex,8,委托理财/代投,.1038479617256149,.22245041,.46683648,.64061689,positive,
m_mean,amount_mean_regex,10,技术服务,-1.837902200416394,.40037313,-4.5904732,4.4224221e-06,negative,***
m_mean,amount_mean_regex,11,挖矿,-.4353137207514142,.23215616,-1.8750901,.060780331,negative,*
m_mean,amount_mean_regex,12,未分类,-1.704394528240336,.24785417,-6.8766017,6.1297092e-12,negative,***
m_mean,amount_mean_regex,13,未知,-1.184733556641011,.53829396,-2.2009044,.027742794,negative,**
m_mean,amount_mean_regex,14,虚拟货币买卖,.8186147627245925,.36866173,2.2205038,.026384592,positive,**
m_mean,amount_mean_regex,15,虚拟货币交易,.433246363816221,.35557821,1.2184278,.22306146,positive,
m_mean,amount_mean_regex,16,虚拟货币借贷,-1.049840790851448,.24197312,-4.3386674,.000014334942,negative,***
m_mean,amount_mean_regex,18,虚拟货币投资,-.106553249123467,.27134439,-.39268637,.69455111,negative,
m_mean,amount_mean_regex,20,虚拟货币购买,-.2483485487451354,.93719512,-.26499131,.79101616,negative,
m_mean,amount_mean_regex,23,非法金融活动,1.632644634676936,1.1554198,1.4130315,.15764646,positive,
m_median,amount_median_regex,1,不适用,-2.34590555253022,.75716865,-3.0982602,.001946604,negative,***
m_median,amount_median_regex,3,交易所炒币,-.0873731504316256,.32839048,-.26606479,.79018933,negative,
m_median,amount_median_regex,4,其他,-1.29877108929761,.39230913,-3.3105807,.00093102566,negative,***
m_median,amount_median_regex,5,其他(稀疏),-.5900545133536609,.31340712,-1.8827093,.05973978,negative,*
m_median,amount_median_regex,6,发币/ICO,1.748049607705735,.37532237,4.6574616,3.2013204e-06,positive,***
m_median,amount_median_regex,7,场外交易(OTC),.4997069313286136,.27039599,1.848056,.064594254,positive,*
m_median,amount_median_regex,8,委托理财/代投,.1038479617256149,.22245041,.46683648,.64061689,positive,
m_median,amount_median_regex,10,技术服务,-1.837902200416394,.40037313,-4.5904732,4.4224221e-06,negative,***
m_median,amount_median_regex,11,挖矿,-.4353137207514142,.23215616,-1.8750901,.060780331,negative,*
m_median,amount_median_regex,12,未分类,-1.704394528240336,.24785417,-6.8766017,6.1297092e-12,negative,***
m_median,amount_median_regex,13,未知,-1.184733556641011,.53829396,-2.2009044,.027742794,negative,**
m_median,amount_median_regex,14,虚拟货币买卖,.8186147627245925,.36866173,2.2205038,.026384592,positive,**
m_median,amount_median_regex,15,虚拟货币交易,.433246363816221,.35557821,1.2184278,.22306146,positive,
m_median,amount_median_regex,16,虚拟货币借贷,-1.049840790851448,.24197312,-4.3386674,.000014334942,negative,***
m_median,amount_median_regex,18,虚拟货币投资,-.106553249123467,.27134439,-.39268637,.69455111,negative,
m_median,amount_median_regex,20,虚拟货币购买,-.2483485487451354,.93719512,-.26499131,.79101616,negative,
m_median,amount_median_regex,23,非法金融活动,1.632644634676936,1.1554198,1.4130315,.15764646,positive,
m_case,case_amount,1,不适用,-2.34590555253022,.75716865,-3.0982602,.001946604,negative,***
m_case,case_amount,3,交易所炒币,-.0873731504316256,.32839048,-.26606479,.79018933,negative,
m_case,case_amount,4,其他,-1.29877108929761,.39230913,-3.3105807,.00093102566,negative,***
m_case,case_amount,5,其他(稀疏),-.5900545133536609,.31340712,-1.8827093,.05973978,negative,*
m_case,case_amount,6,发币/ICO,1.748049607705735,.37532237,4.6574616,3.2013204e-06,positive,***
m_case,case_amount,7,场外交易(OTC),.4997069313286136,.27039599,1.848056,.064594254,positive,*
m_case,case_amount,8,委托理财/代投,.1038479617256149,.22245041,.46683648,.64061689,positive,
m_case,case_amount,10,技术服务,-1.837902200416394,.40037313,-4.5904732,4.4224221e-06,negative,***
m_case,case_amount,11,挖矿,-.4353137207514142,.23215616,-1.8750901,.060780331,negative,*
m_case,case_amount,12,未分类,-1.704394528240336,.24785417,-6.8766017,6.1297092e-12,negative,***
m_case,case_amount,13,未知,-1.184733556641011,.53829396,-2.2009044,.027742794,negative,**
m_case,case_amount,14,虚拟货币买卖,.8186147627245925,.36866173,2.2205038,.026384592,positive,**
m_case,case_amount,15,虚拟货币交易,.433246363816221,.35557821,1.2184278,.22306146,positive,
m_case,case_amount,16,虚拟货币借贷,-1.049840790851448,.24197312,-4.3386674,.000014334942,negative,***
m_case,case_amount,18,虚拟货币投资,-.106553249123467,.27134439,-.39268637,.69455111,negative,
m_case,case_amount,20,虚拟货币购买,-.2483485487451354,.93719512,-.26499131,.79101616,negative,
m_case,case_amount,23,非法金融活动,1.632644634676936,1.1554198,1.4130315,.15764646,positive,
m_noamt,no_amount,1,不适用,-2.256521260661223,.71671528,-3.1484208,.0016415516,negative,***
m_noamt,no_amount,3,交易所炒币,-.0874284883439162,.33011371,-.26484355,.79112995,negative,
m_noamt,no_amount,4,其他,-1.262538152589463,.39130822,-3.2264545,.001253342,negative,***
m_noamt,no_amount,5,其他(稀疏),-.562314537187623,.31556386,-1.7819358,.074759699,negative,*
m_noamt,no_amount,6,发币/ICO,1.732824814595999,.37186205,4.6598592,3.1642567e-06,positive,***
m_noamt,no_amount,7,场外交易(OTC),.5108283197840797,.2706995,1.8870679,.059151191,positive,*
m_noamt,no_amount,8,委托理财/代投,.1064100472583783,.22212233,.47906056,.63189554,positive,
m_noamt,no_amount,10,技术服务,-1.813340733790602,.40278226,-4.502037,6.7305200e-06,negative,***
m_noamt,no_amount,11,挖矿,-.4236158576561608,.23010683,-1.840953,.065628454,negative,*
m_noamt,no_amount,12,未分类,-1.698258033609123,.24740045,-6.8644099,6.6766670e-12,negative,***
m_noamt,no_amount,13,未知,-1.160697673376587,.54534942,-2.128356,.033307578,negative,**
m_noamt,no_amount,14,虚拟货币买卖,.7919099454056624,.36787742,2.1526463,.031346496,positive,**
m_noamt,no_amount,15,虚拟货币交易,.414244937012435,.35078472,1.1809093,.23763876,positive,
m_noamt,no_amount,16,虚拟货币借贷,-1.018875034411446,.24297111,-4.1933999,.000027480437,negative,***
m_noamt,no_amount,18,虚拟货币投资,-.1216270162802522,.27069917,-.44930694,.65321022,negative,
m_noamt,no_amount,20,虚拟货币购买,-.2878781442219899,.95603114,-.30111796,.76332456,negative,
m_noamt,no_amount,23,非法金融活动,1.609246795825161,1.1512327,1.3978466,.16215914,positive,
