category,n,pct
提供劳务者受害责任纠纷,2,0.00016481252575195715
定作合同纠纷,2,0.00016481252575195715
销售假冒注册商标的商品罪,2,0.00016481252575195715
车辆租赁合同纠纷,2,0.00016481252575195715
定金合同纠纷,2,0.00016481252575195715
非法出售增值税专用发票罪,2,0.00016481252575195715
损害公司利益责任纠纷,2,0.00016481252575195715
占有物返还纠纷,2,0.00016481252575195715
持有、使用假币罪,2,0.00016481252575195715
非法持有毒品罪,2,0.00016481252575195715
法定继承纠纷,2,0.00016481252575195715
仿冒纠纷,2,0.00016481252575195715
交通肇事罪,2,0.00016481252575195715
股东知情权纠纷,2,0.00016481252575195715
行纪合同纠纷,2,0.00016481252575195715
抢夺罪,2,0.00016481252575195715
债券质权纠纷,2,0.00016481252575195715
国有公司、企业、事业单位人员失职罪,2,0.00016481252575195715
掩饰、隐瞒犯罪所得、犯罪所得收益,2,0.00016481252575195715
非法利用信息网络,1,8.240626287597858e-05
帮助信息网络犯罪活动,1,8.240626287597858e-05
企业承包经营合同纠纷,1,8.240626287597858e-05
虚假诉讼罪,1,8.240626287597858e-05
物权确认纠纷,1,8.240626287597858e-05
竞业限制纠纷,1,8.240626287597858e-05
行政强制措施,1,8.240626287597858e-05
旅游合同纠纷,1,8.240626287597858e-05
组织卖淫罪,1,8.240626287597858e-05
故意毁坏财物罪,1,8.240626287597858e-05
电信服务合同纠纷,1,8.240626287597858e-05
侵害其他著作财产权纠纷,1,8.240626287597858e-05
储蓄存款合同纠纷,1,8.240626287597858e-05
行政确认,1,8.240626287597858e-05
债务加入纠纷,1,8.240626287597858e-05
相邻关系纠纷,1,8.240626287597858e-05
仓储合同纠纷,1,8.240626287597858e-05
合同、准合同纠纷,1,8.240626287597858e-05
欺诈客户责任纠纷,1,8.240626287597858e-05
建筑物和物件损害责任纠纷,1,8.240626287597858e-05
非法种植毒品原植物罪,1,8.240626287597858e-05
悬赏广告纠纷,1,8.240626287597858e-05
食品、药品监管渎职罪,1,8.240626287597858e-05
追加、变更被执行人异议之诉,1,8.240626287597858e-05
物权纠纷,1,8.240626287597858e-05
公安行政管理,1,8.240626287597858e-05
非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物罪,1,8.240626287597858e-05
股东资格确认纠纷,1,8.240626287597858e-05
侵害作品展览权纠纷,1,8.240626287597858e-05
人身保险合同纠纷,1,8.240626287597858e-05
共有物分割纠纷,1,8.240626287597858e-05
中介合同纠纷,1,8.240626287597858e-05
小额借款合同纠纷,1,8.240626287597858e-05
网络域名权属纠纷,1,8.240626287597858e-05
餐饮服务合同纠纷,1,8.240626287597858e-05
法律服务合同纠纷,1,8.240626287597858e-05
因申请财产保全损害责任纠纷,1,8.240626287597858e-05
走私武器、弹药罪,1,8.240626287597858e-05
所有权确认纠纷,1,8.240626287597858e-05
铁路运输财产损害责任纠纷,1,8.240626287597858e-05
运送他人偷越国（边）境罪,1,8.240626287597858e-05
绑架罪,1,8.240626287597858e-05
危险驾驶罪,1,8.240626287597858e-05
公司减资纠纷,1,8.240626287597858e-05
生产、销售有毒、有害食品罪,1,8.240626287597858e-05
执行程序中的异议之诉,1,8.240626287597858e-05
分期付款买卖合同纠纷,1,8.240626287597858e-05
公司解散纠纷,1,8.240626287597858e-05
物业服务合同纠纷,1,8.240626287597858e-05
生产、销售伪劣产品罪,1,8.240626287597858e-05
侵害作品广播权纠纷,1,8.240626287597858e-05
制作、贩卖、传播淫秽物品罪,1,8.240626287597858e-05
行政监察,1,8.240626287597858e-05
保险代理合同纠纷,1,8.240626287597858e-05
隐私权纠纷,1,8.240626287597858e-05
娱乐服务合同纠纷,1,8.240626287597858e-05
申请诉前停止侵害注册商标专用权,1,8.240626287597858e-05
因申请诉中财产保全损害责任纠纷,1,8.240626287597858e-05
提供侵入、非法控制计算机信息系统程序、工具,1,8.240626287597858e-05
出售、购买、运输假币罪,1,8.240626287597858e-05
种植、养殖回收合同纠纷,1,8.240626287597858e-05
土地租赁合同纠纷,1,8.240626287597858e-05
消费者权益保护民事公益诉讼,1,8.240626287597858e-05
再保险合同纠纷,1,8.240626287597858e-05
修理合同纠纷,1,8.240626287597858e-05
财产保险合同纠纷,1,8.240626287597858e-05
拒不支付劳动报酬罪,1,8.240626287597858e-05
担保物权确认纠纷,1,8.240626287597858e-05
追索劳动报酬纠纷,1,8.240626287597858e-05
债务转移合同纠纷,1,8.240626287597858e-05
拒不执行判决、裁定罪,1,8.240626287597858e-05
技术委托开发合同纠纷,1,8.240626287597858e-05
伪造、变造金融票证罪,1,8.240626287597858e-05
侵害作品改编权纠纷,1,8.240626287597858e-05
财产损失保险合同纠纷,1,8.240626287597858e-05
非法吸收公众存款,1,8.240626287597858e-05
伪造、变造、买卖身份证件罪,1,8.240626287597858e-05
组织、领导传销活动,1,8.240626287597858e-05
行政,1,8.240626287597858e-05
专利行政管理,1,8.240626287597858e-05
文化行政管理,1,8.240626287597858e-05
故意杀人罪,1,8.240626287597858e-05
银行卡纠纷,1,8.240626287597858e-05
不履行某某职责,1,8.240626287597858e-05
融资租赁合同纠纷,1,8.240626287597858e-05
诬告陷害罪,1,8.240626287597858e-05
合作创作合同纠纷,1,8.240626287597858e-05
商标权权属、侵权纠纷,1,8.240626287597858e-05
走私罪,1,8.240626287597858e-05
假冒注册商标罪,1,8.240626287597858e-05
分家析产纠纷,1,8.240626287597858e-05
房屋拆迁安置补偿合同纠纷,1,8.240626287597858e-05
技术合同纠纷,1,8.240626287597858e-05
行政撤销,1,8.240626287597858e-05
肖像权纠纷,1,8.240626287597858e-05
盗伐林木罪,1,8.240626287597858e-05
