doc_id,field,match,dsv4_value,gpt55_gold_value
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_profile.case_type_secondary,1,"""组织、领导传销活动罪""","""组织、领导传销活动罪"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_profile.procedure_stage,1,"""一审""","""一审"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_profile.is_appeal,1,false,false
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_profile.litigant_profile.plaintiff_types,1,"[""\""人民检察院\""""]","[""\""人民检察院\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,case_profile.litigant_profile.defendant_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,virtual_currency_info.involved,1,true,true
22b20f1d-ea23-4fde-ab48-ad57012543f5,virtual_currency_info.currency_types,0,"[""\""以太坊\"""", ""\""柚子币\"""", ""\""比特币\"""", ""\""比特现金\"""", ""\""狗狗币\"""", ""\""瑞波币\"""", ""\""莱特币\"""", ""\""达世币\""""]","[""\""以太坊(ETH)\"""", ""\""数字货币\"""", ""\""柚子币(EOS)\"""", ""\""比特币(BTC)\"""", ""\""比特现金(BCH)\"""", ""\""狗狗币(DOGE)\"""", ""\""瑞波币(XRP)\"""", ""\""莱特币(LTC)\"""", ""\""达世币(DASH)\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,virtual_currency_info.activity_types,1,"[""\""传销\""""]","[""\""传销\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.legal_characterization,1,"""组织、领导传销活动罪""","""组织、领导传销活动罪"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.transaction_legality_assessment,1,"""不适用""","""不适用"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.contract_validity,1,"""不适用""","""不适用"""
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.reasons_for_invalidity_or_no_protection,1,[],[]
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.cited_laws,1,"[""\""《中华人民共和国刑法》第二十五条第一款\"""", ""\""《中华人民共和国刑法》第二百二十四条之一\"""", ""\""《中华人民共和国刑法》第五十三条第一款\"""", ""\""《中华人民共和国刑法》第五十二条\"""", ""\""《中华人民共和国刑法》第六十七条第三款\"""", ""\""《中华人民共和国刑法》第六十四条\""""]","[""\""《中华人民共和国刑法》第二十五条第一款\"""", ""\""《中华人民共和国刑法》第二百二十四条之一\"""", ""\""《中华人民共和国刑法》第五十三条第一款\"""", ""\""《中华人民共和国刑法》第五十二条\"""", ""\""《中华人民共和国刑法》第六十七条第三款\"""", ""\""《中华人民共和国刑法》第六十四条\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.cited_policies,1,[],[]
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.policy_labels,1,[],[]
22b20f1d-ea23-4fde-ab48-ad57012543f5,judicial_analysis.judicial_framing,1,"[""\""其他\""""]","[""\""其他\""""]"
22b20f1d-ea23-4fde-ab48-ad57012543f5,low_confidence_fields,0,[],"[""\""case_amount\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_amount,0,null,1686304.12
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_amount_type,0,null,"""支付结算金额"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.case_number,1,"""(2021)豫0502刑初91号""","""(2021)豫0502刑初91号"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.court_name,1,"""安阳市文峰区人民法院""","""安阳市文峰区人民法院"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.court_level,1,"""基层法院""","""基层法院"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.judgment_date,1,"""2021-03-27""","""2021-03-27"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.first_instance_case_number,1,null,null
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.region,1,"""河南""","""河南"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,metadata.doc_type,1,"""判决书""","""判决书"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_profile.case_type_primary,1,"""刑事""","""刑事"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_profile.case_type_secondary,1,"""帮助信息网络犯罪活动罪""","""帮助信息网络犯罪活动罪"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_profile.procedure_stage,1,"""一审""","""一审"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_profile.is_appeal,1,false,false
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_profile.litigant_profile.plaintiff_types,1,"[""\""人民检察院\""""]","[""\""人民检察院\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,case_profile.litigant_profile.defendant_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,virtual_currency_info.involved,1,true,true
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,virtual_currency_info.currency_types,0,"[""\""USDT\"""", ""\""比特币\""""]","[""\""USDT\"""", ""\""数字货币\"""", ""\""比特币\"""", ""\""虚拟货币\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,virtual_currency_info.activity_types,0,"[""\""买卖/兑换\"""", ""\""帮助信息网络犯罪活动\""""]","[""\""买卖/兑换\"""", ""\""交易所交易\"""", ""\""帮助信息网络犯罪活动\"""", ""\""支付结算\"""", ""\""诈骗\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.legal_characterization,1,"""帮助信息网络犯罪活动罪""","""帮助信息网络犯罪活动罪"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.transaction_legality_assessment,0,"""不适用""","""涉嫌犯罪"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.contract_validity,1,"""不适用""","""不适用"""
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.reasons_for_invalidity_or_no_protection,1,[],[]
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.cited_laws,1,"[""\""《中华人民共和国刑法》第二百八十七条之二第一款\"""", ""\""《中华人民共和国刑法》第六十七条第三款\""""]","[""\""《中华人民共和国刑法》第二百八十七条之二第一款\"""", ""\""《中华人民共和国刑法》第六十七条第三款\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.cited_policies,1,[],[]
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.policy_labels,1,[],[]
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,judicial_analysis.judicial_framing,0,"[""\""其他\""""]","[""\""涉嫌犯罪\""""]"
34a2c3cb-eec6-41e9-94a9-ad17009a1ac9,low_confidence_fields,0,"[""\""case_amount\"""", ""\""case_amount_evidence\"""", ""\""case_amount_type\""""]","[""\""case_amount\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,case_amount,1,620800,620800
4b105da2-5648-4086-b344-ae16011d9b86,case_amount_type,1,"""掩隐金额""","""掩隐金额"""
4b105da2-5648-4086-b344-ae16011d9b86,metadata.case_number,1,"""(2021)闽0802刑初1071号""","""(2021)闽0802刑初1071号"""
4b105da2-5648-4086-b344-ae16011d9b86,metadata.court_name,1,"""龙岩市新罗区人民法院""","""龙岩市新罗区人民法院"""
4b105da2-5648-4086-b344-ae16011d9b86,metadata.court_level,1,"""基层法院""","""基层法院"""
4b105da2-5648-4086-b344-ae16011d9b86,metadata.judgment_date,1,"""2021-11-30""","""2021-11-30"""
4b105da2-5648-4086-b344-ae16011d9b86,metadata.first_instance_case_number,1,null,null
4b105da2-5648-4086-b344-ae16011d9b86,metadata.region,1,"""福建""","""福建"""
4b105da2-5648-4086-b344-ae16011d9b86,metadata.doc_type,1,"""判决书""","""判决书"""
4b105da2-5648-4086-b344-ae16011d9b86,case_profile.case_type_primary,1,"""刑事""","""刑事"""
4b105da2-5648-4086-b344-ae16011d9b86,case_profile.case_type_secondary,0,"""掩饰、隐瞒犯罪所得、犯罪所得收益罪""","""掩饰、隐瞒犯罪所得罪"""
4b105da2-5648-4086-b344-ae16011d9b86,case_profile.procedure_stage,1,"""一审""","""一审"""
4b105da2-5648-4086-b344-ae16011d9b86,case_profile.is_appeal,1,false,false
4b105da2-5648-4086-b344-ae16011d9b86,case_profile.litigant_profile.plaintiff_types,1,"[""\""人民检察院\""""]","[""\""人民检察院\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,case_profile.litigant_profile.defendant_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,virtual_currency_info.involved,1,true,true
4b105da2-5648-4086-b344-ae16011d9b86,virtual_currency_info.currency_types,1,"[""\""虚拟币\""""]","[""\""虚拟币\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,virtual_currency_info.activity_types,0,"[""\""洗钱/掩隐\""""]","[""\""买卖/兑换\"""", ""\""交易所交易\"""", ""\""洗钱/掩隐\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.legal_characterization,1,"""掩饰、隐瞒犯罪所得罪""","""掩饰、隐瞒犯罪所得罪"""
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.transaction_legality_assessment,1,"""不适用""","""不适用"""
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.contract_validity,1,"""不适用""","""不适用"""
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.reasons_for_invalidity_or_no_protection,1,[],[]
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.cited_laws,1,"[""\""《中华人民共和国刑事诉讼法》第二百零一条第一款\"""", ""\""《中华人民共和国刑事诉讼法》第十五条\"""", ""\""《中华人民共和国刑法》第七十三条第二、三款\"""", ""\""《中华人民共和国刑法》第七十二条第一、三款\"""", ""\""《中华人民共和国刑法》第三百一十二条第一款\"""", ""\""《中华人民共和国刑法》第二十七条\"""", ""\""《中华人民共和国刑法》第二十五条第一款\"""", ""\""《中华人民共和国刑法》第五十三条第一款\"""", ""\""《中华人民共和国刑法》第五十二条\"""", ""\""《中华人民共和国刑法》第六十一条\"""", ""\""《中华人民共和国刑法》第六十七条第三款\"""", ""\""《中华人民共和国刑法》第六十二条\"""", ""\""《中华人民共和国刑法》第六十四条\"""", ""\""《中华人民共和国刑法》第四十五条\""""]","[""\""《中华人民共和国刑事诉讼法》第二百零一条第一款\"""", ""\""《中华人民共和国刑事诉讼法》第十五条\"""", ""\""《中华人民共和国刑法》第七十三条第二、三款\"""", ""\""《中华人民共和国刑法》第七十二条第一、三款\"""", ""\""《中华人民共和国刑法》第三百一十二条第一款\"""", ""\""《中华人民共和国刑法》第二十七条\"""", ""\""《中华人民共和国刑法》第二十五条第一款\"""", ""\""《中华人民共和国刑法》第五十三条第一款\"""", ""\""《中华人民共和国刑法》第五十二条\"""", ""\""《中华人民共和国刑法》第六十一条\"""", ""\""《中华人民共和国刑法》第六十七条第三款\"""", ""\""《中华人民共和国刑法》第六十二条\"""", ""\""《中华人民共和国刑法》第六十四条\"""", ""\""《中华人民共和国刑法》第四十五条\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.cited_policies,1,[],[]
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.policy_labels,1,[],[]
4b105da2-5648-4086-b344-ae16011d9b86,judicial_analysis.judicial_framing,0,[],"[""\""其他\""""]"
4b105da2-5648-4086-b344-ae16011d9b86,low_confidence_fields,1,[],[]
5c487523-3862-42f7-ad69-00eadad32555,case_amount,1,7000000,7000000
5c487523-3862-42f7-ad69-00eadad32555,case_amount_type,1,"""违法所得""","""违法所得"""
5c487523-3862-42f7-ad69-00eadad32555,metadata.case_number,1,"""(2013)衢刑初字第65号""","""(2013)衢刑初字第65号"""
5c487523-3862-42f7-ad69-00eadad32555,metadata.court_name,1,"""浙江省衢州市衢江区人民法院""","""浙江省衢州市衢江区人民法院"""
5c487523-3862-42f7-ad69-00eadad32555,metadata.court_level,1,"""基层法院""","""基层法院"""
5c487523-3862-42f7-ad69-00eadad32555,metadata.judgment_date,1,"""2013-05-07""","""2013-05-07"""
5c487523-3862-42f7-ad69-00eadad32555,metadata.first_instance_case_number,1,null,null
5c487523-3862-42f7-ad69-00eadad32555,metadata.region,1,"""浙江""","""浙江"""
5c487523-3862-42f7-ad69-00eadad32555,metadata.doc_type,1,"""判决书""","""判决书"""
5c487523-3862-42f7-ad69-00eadad32555,case_profile.case_type_primary,1,"""刑事""","""刑事"""
5c487523-3862-42f7-ad69-00eadad32555,case_profile.case_type_secondary,1,"""赌博罪""","""赌博罪"""
5c487523-3862-42f7-ad69-00eadad32555,case_profile.procedure_stage,1,"""一审""","""一审"""
5c487523-3862-42f7-ad69-00eadad32555,case_profile.is_appeal,1,false,false
5c487523-3862-42f7-ad69-00eadad32555,case_profile.litigant_profile.plaintiff_types,1,"[""\""人民检察院\""""]","[""\""人民检察院\""""]"
5c487523-3862-42f7-ad69-00eadad32555,case_profile.litigant_profile.defendant_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
5c487523-3862-42f7-ad69-00eadad32555,virtual_currency_info.involved,1,true,true
5c487523-3862-42f7-ad69-00eadad32555,virtual_currency_info.currency_types,0,"[""\""银子\""""]","[""\""虚拟货币\"""", ""\""银子\""""]"
5c487523-3862-42f7-ad69-00eadad32555,virtual_currency_info.activity_types,0,"[""\""赌博\""""]","[""\""买卖/兑换\"""", ""\""赌博\""""]"
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.legal_characterization,1,"""赌博罪""","""赌博罪"""
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.transaction_legality_assessment,0,"""不适用""","""涉嫌犯罪"""
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.contract_validity,1,"""不适用""","""不适用"""
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.reasons_for_invalidity_or_no_protection,1,[],[]
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.cited_laws,1,"[""\""《中华人民共和国刑法》第三百零三条\"""", ""\""《中华人民共和国刑法》第六十四条\""""]","[""\""《中华人民共和国刑法》第三百零三条\"""", ""\""《中华人民共和国刑法》第六十四条\""""]"
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.cited_policies,1,[],[]
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.policy_labels,1,[],[]
5c487523-3862-42f7-ad69-00eadad32555,judicial_analysis.judicial_framing,1,"[""\""其他\""""]","[""\""其他\""""]"
5c487523-3862-42f7-ad69-00eadad32555,low_confidence_fields,0,[],"[""\""case_amount\"""", ""\""judicial_framing\"""", ""\""transaction_legality_assessment\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_amount,1,140000,140000
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_amount_type,1,"""掩隐金额""","""掩隐金额"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.case_number,1,"""(2023)晋0109刑初262号""","""(2023)晋0109刑初262号"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.court_name,1,"""太原市万柏林区人民法院""","""太原市万柏林区人民法院"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.court_level,1,"""基层法院""","""基层法院"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.judgment_date,1,"""2023-05-08""","""2023-05-08"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.first_instance_case_number,1,null,null
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.region,1,"""山西""","""山西"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,metadata.doc_type,1,"""判决书""","""判决书"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_profile.case_type_primary,1,"""刑事""","""刑事"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_profile.case_type_secondary,1,"""掩饰、隐瞒犯罪所得罪""","""掩饰、隐瞒犯罪所得罪"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_profile.procedure_stage,1,"""一审""","""一审"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_profile.is_appeal,1,false,false
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_profile.litigant_profile.plaintiff_types,1,"[""\""人民检察院\""""]","[""\""人民检察院\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,case_profile.litigant_profile.defendant_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,virtual_currency_info.involved,1,true,true
6fc25feb-ec18-4bee-9af2-b12200c703d1,virtual_currency_info.currency_types,0,"[""\""虚拟币\""""]","[""\""数字货币\"""", ""\""虚拟币\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,virtual_currency_info.activity_types,0,"[""\""诈骗\""""]","[""\""洗钱/掩隐\"""", ""\""诈骗\"""", ""\""赌博\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.legal_characterization,1,"""掩饰、隐瞒犯罪所得罪""","""掩饰、隐瞒犯罪所得罪"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.transaction_legality_assessment,1,"""不适用""","""不适用"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.contract_validity,1,"""不适用""","""不适用"""
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.reasons_for_invalidity_or_no_protection,1,[],[]
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.cited_laws,0,"[""\""《中华人民共和国刑事诉讼法》第十五条\"""", ""\""《中华人民共和国刑法》第三百一十二条第一款\"""", ""\""《中华人民共和国刑法》第二十五条第一款\"""", ""\""《中华人民共和国刑法》第五十三条\"""", ""\""《中华人民共和国刑法》第五十二条\"""", ""\""《中华人民共和国刑法》第六十一条\"""", ""\""《中华人民共和国刑法》第六十七条第一款、第三款\"""", ""\""《中华人民共和国刑法》第六十八条\""""]","[""\""《中华人民共和国刑事诉讼法》第十五条\"""", ""\""《中华人民共和国刑法》第三百一十二条第一款\"""", ""\""《中华人民共和国刑法》第二十五条第一款\"""", ""\""《中华人民共和国刑法》第五十三条\"""", ""\""《中华人民共和国刑法》第五十二条\"""", ""\""《中华人民共和国刑法》第六十一条\"""", ""\""《中华人民共和国刑法》第六十七条第一款\"""", ""\""《中华人民共和国刑法》第六十七条第三款\"""", ""\""《中华人民共和国刑法》第六十八条\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.cited_policies,1,[],[]
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.policy_labels,1,[],[]
6fc25feb-ec18-4bee-9af2-b12200c703d1,judicial_analysis.judicial_framing,1,"[""\""其他\""""]","[""\""其他\""""]"
6fc25feb-ec18-4bee-9af2-b12200c703d1,low_confidence_fields,1,[],[]
d14214ed-04ba-42e4-abf5-adc200fbfada,case_amount,0,1257709.88,1361768
d14214ed-04ba-42e4-abf5-adc200fbfada,case_amount_type,0,"""原告诉请本金""","""交易本金"""
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.case_number,1,"""(2020)粤0113民初2844号""","""(2020)粤0113民初2844号"""
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.court_name,1,"""广州市番禺区人民法院""","""广州市番禺区人民法院"""
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.court_level,1,"""基层法院""","""基层法院"""
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.judgment_date,1,"""2021-05-19""","""2021-05-19"""
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.first_instance_case_number,1,null,null
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.region,1,"""广东""","""广东"""
d14214ed-04ba-42e4-abf5-adc200fbfada,metadata.doc_type,1,"""判决书""","""判决书"""
d14214ed-04ba-42e4-abf5-adc200fbfada,case_profile.case_type_primary,1,"""民事""","""民事"""
d14214ed-04ba-42e4-abf5-adc200fbfada,case_profile.case_type_secondary,1,"""赠与合同纠纷""","""赠与合同纠纷"""
d14214ed-04ba-42e4-abf5-adc200fbfada,case_profile.procedure_stage,1,"""一审""","""一审"""
d14214ed-04ba-42e4-abf5-adc200fbfada,case_profile.is_appeal,1,false,false
d14214ed-04ba-42e4-abf5-adc200fbfada,case_profile.litigant_profile.plaintiff_types,1,"[""\""自然人\""""]","[""\""自然人\""""]"
d14214ed-04ba-42e4-abf5-adc200fbfada,case_profile.litigant_profile.defendant_types,1,"[""\""法人\"""", ""\""自然人\""""]","[""\""法人\"""", ""\""自然人\""""]"
d14214ed-04ba-42e4-abf5-adc200fbfada,virtual_currency_info.involved,1,true,true
d14214ed-04ba-42e4-abf5-adc200fbfada,virtual_currency_info.currency_types,1,"[""\""虚拟货币\""""]","[""\""虚拟货币\""""]"
d14214ed-04ba-42e4-abf5-adc200fbfada,virtual_currency_info.activity_types,0,"[""\""其他\""""]","[""\""买卖/兑换\"""", ""\""其他\""""]"
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.legal_characterization,0,"""赠与合同""","""网络服务合同关系、赠与合同关系"""
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.virtual_currency_property_status,1,"""未明确""","""未明确"""
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.transaction_legality_assessment,1,"""未明确""","""未明确"""
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.contract_validity,1,"""未明确""","""未明确"""
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.reasons_for_invalidity_or_no_protection,0,"[""\""证据不足\""""]","[""\""证据不足\"""", ""\""请求权基础不成立\""""]"
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.cited_laws,1,"[""\""《中华人民共和国民事诉讼法》第六十四条\""""]","[""\""《中华人民共和国民事诉讼法》第六十四条\""""]"
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.cited_policies,1,[],[]
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.policy_labels,1,[],[]
d14214ed-04ba-42e4-abf5-adc200fbfada,judicial_analysis.judicial_framing,0,"[""\""证据不足\""""]","[""\""证据不足\"""", ""\""请求权基础不成立\""""]"
