term,b,se,z,p
66o.activity_type_id,0,0,,
70.activity_type_id,2.389182130826374,.31878746,7.4945927,6.6504500e-14
75.activity_type_id,2.297043009595686,.27255443,8.4278316,3.5212774e-17
80o.activity_type_id,0,0,,
83o.activity_type_id,0,0,,
84o.activity_type_id,0,0,,
86.activity_type_id,.7336795371943552,.15351176,4.779305,1.7590235e-06
87.activity_type_id,1.592801499904123,1.4473578,1.1004891,.27111906
89o.activity_type_id,0,0,,
90o.activity_type_id,0,0,,
91o.activity_type_id,0,0,,
92o.activity_type_id,0,0,,
97o.activity_type_id,0,0,,
98o.activity_type_id,0,0,,
107.activity_type_id,1.378689192768894,1.072523,1.2854636,.19863033
108.activity_type_id,1.474307088876527,.18665877,7.8984075,2.8248902e-15
111o.activity_type_id,0,0,,
113o.activity_type_id,0,0,,
114.activity_type_id,2.379580472242182,.93903923,2.5340586,.011274989
115o.activity_type_id,0,0,,
117o.activity_type_id,0,0,,
119o.activity_type_id,0,0,,
121o.activity_type_id,0,0,,
123.activity_type_id,.7192245530450377,.84486997,.85128433,.39461142
124o.activity_type_id,0,0,,
125o.activity_type_id,0,0,,
126o.activity_type_id,0,0,,
127o.activity_type_id,0,0,,
128o.activity_type_id,0,0,,
132.activity_type_id,1.698544630541194,1.004068,1.6916629,.090710275
133o.activity_type_id,0,0,,
135o.activity_type_id,0,0,,
137o.activity_type_id,0,0,,
138o.activity_type_id,0,0,,
139o.activity_type_id,0,0,,
140o.activity_type_id,0,0,,
142o.activity_type_id,0,0,,
143.activity_type_id,3.047664968015491,1.1341978,2.6870666,.0072082602
144.activity_type_id,.3305484247405693,1.3670517,.24179657,.80893779
145o.activity_type_id,0,0,,
148o.activity_type_id,0,0,,
150o.activity_type_id,0,0,,
154o.activity_type_id,0,0,,
155.activity_type_id,1.866068469199315,.12651342,14.749964,0
157o.activity_type_id,0,0,,
160o.activity_type_id,0,0,,
161o.activity_type_id,0,0,,
162o.activity_type_id,0,0,,
163.activity_type_id,1.419871362219987,.8568238,1.6571335,.097492501
167o.activity_type_id,0,0,,
168o.activity_type_id,0,0,,
170o.activity_type_id,0,0,,
172o.activity_type_id,0,0,,
174o.activity_type_id,0,0,,
175o.activity_type_id,0,0,,
176o.activity_type_id,0,0,,
179o.activity_type_id,0,0,,
181o.activity_type_id,0,0,,
185o.activity_type_id,0,0,,
194o.activity_type_id,0,0,,
197o.activity_type_id,0,0,,
200.activity_type_id,4.459344095272962,1.0334476,4.3150167,.000015959065
201o.activity_type_id,0,0,,
1b.court_level_id,0,0,,
2.court_level_id,-.3243833525421011,.20325787,-1.5959202,.1105066
3.court_level_id,-.7416342513056475,.53313166,-1.3910903,.16419807
4.court_level_id,-.7744312135145588,.29261729,-2.6465669,.0081313411
5.court_level_id,-.0628041143981922,.70571572,-.088993505,.92908704
6.court_level_id,-.8708516184616897,.87580526,-.99434388,.32005548
2011b.judgment_year,0,0,,
2012o.judgment_year,0,0,,
2013.judgment_year,.7789135744389565,1.0903624,.71436208,.47500333
2014.judgment_year,-.0476848111114239,.94501674,-.050459221,.95975643
2015.judgment_year,-.2012285110043368,.95033711,-.21174435,.8323065
2016.judgment_year,.0913927614633198,.86279798,.10592602,.91564107
2017.judgment_year,.2322230915211331,.81545049,.28477889,.77581352
2018.judgment_year,.4686108608864606,.77912241,.60145986,.54753375
2019.judgment_year,.7211347915721461,.77677381,.92837167,.35321483
2020.judgment_year,.7593946240543864,.76830679,.98840022,.32295668
2021.judgment_year,.7968699714270451,.763475,1.0437407,.29660535
2022.judgment_year,1.068879260146184,.76739424,1.3928685,.16365957
2023.judgment_year,1.187768203553033,.76778573,1.5470048,.12186209
2024.judgment_year,1.43213726654956,.76932377,1.8615533,.062666073
2025o.judgment_year,0,0,,
1b.procedure_stage_id,0,0,,
2.procedure_stage_id,-.5975256956496005,.67097247,-.89053684,.37317768
3.procedure_stage_id,-.4266708025976005,.70958412,-.60129702,.54764217
4.procedure_stage_id,.4893023554561232,.59858811,.81742752,.41368416
6o.procedure_stage_id,0,0,,
0o.doc_type_id,0,0,,
0o.case_type_primary_id,0,0,,
0o.case_type_secondary_id,0,0,,
o.ln_amount,0,0,,
1o.ln_amount_miss,0,0,,
0b.is_appeal_b,0,0,,
1.is_appeal_b,-.0742544987228088,.49380612,-.15037178,.88047129
0o.is_appeal_miss,0,0,,
_cons,-1.61016963009807,.9081161,-1.7730879,.07621415
